inst_id,name
001051,University of Alabama
001057,Auburn University
001061,University of Alaska Fairbanks
001066,University of Arizona
001083,Arizona State University
001107,University of Arkansas
001312,University of California-Berkeley
001314,University of California-Davis
001315,University of California-Irvine
001316,University of California-Los Angeles
001317,University of California-San Diego
001320,University of California-Santa Barbara
001321,University of California-Santa Cruz
001350,Colorado State University-Fort Collins
001370,University of Colorado Boulder
001417,University of Connecticut
001428,University of Delaware
001535,University of Florida
001536,Florida State University
001545,University of Georgia
001554,Georgia Institute of Technology
001598,University of Hawaii at Manoa
001626,University of Idaho
001775,University of Illinois Urbana-Champaign
001776,University of Illinois Chicago
001809,University of Iowa
001814,Iowa State University
001844,Kansas State University
001948,University of Kansas
001900,University of Kentucky
001853,Louisiana State University
001989,Tulane University
002049,University of Maine
002093,University of Maryland-College Park
002103,University of Massachusetts Amherst
002325,University of Michigan-Ann Arbor
002328,Michigan State University
002357,University of Minnesota-Twin Cities
002397,Mississippi State University
002401,University of Mississippi
002516,Washington University in St. Louis
002532,University of Missouri-Columbia
002536,University of Montana
002565,Rutgers University-New Brunswick
002532,University of Nebraska-Lincoln
002579,University of Nevada-Reno
002589,University of New Hampshire
002597,New Mexico State University
002632,University of New Mexico
002759,University of Buffalo
002837,University of Rochester
002920,Duke University
002972,North Carolina State University
002974,University of North Carolina at Chapel Hill
003005,North Dakota State University
003078,Case Western Reserve University
003090,Ohio State University
003100,University of Oregon
003104,Oregon State University
003128,University of Pennsylvania
003129,Carnegie Mellon University
003213,Pennsylvania State University
003378,University of Pittsburgh-Pittsburgh Campus
003414,University of Rhode Island
003434,Clemson University
003447,University of Tennessee-Knoxville
003448,Vanderbilt University
003530,Rice University
003594,University of North Texas
003611,Texas Tech University
003632,University of Houston
003652,Texas A&M University
003658,University of Texas at Austin
003671,University of Utah
003675,Utah State University
003700,Virginia Polytechnic Institute and State University
003754,University of Virginia
003767,University of Washington-Seattle Campus
003793,West Virginia University
003895,University of Wisconsin-Madison
003897,University of Wyoming
003461,Indiana University-Bloomington
003798,Purdue University-Main Campus
